Neighbourhood,Neighbourhood Id,Green Rebate Programs,Green Spaces,Pollutant Carcinogenic TEP Score,Pollutant Non-Carcinogenic TEP Score,Pollutants Released to Air,Tree Cover
Agincourt South-Malvern West,128,470,0.2397495,2592.39,421649.45,236731,1400164.909
Agincourt North,129,775,0.250098151,607.86,82592.3,16092,1254144.346
Milliken,130,815,0.512021903,8791.76,3546500.6,222837,1043903.036
Rouge,131,725,14.27145522,171.26,93419.88,56778,12888043.88
Malvern,132,549,0.690798137,399.64,79469,66889,1249250.532
Centennial Scarborough,133,252,0.830824845,0,311,311,1802189.828
Highland Creek,134,364,0.194054785,0,25829.6,10030,1444565.206
Morningside,135,235,1.854249005,0,0,0,2317635.582
West Hill,136,338,1.993607468,104759.13,54076528.3,371626,3403338.25
Woburn,137,600,1.354011781,0,17463.8,2357,2746208.229
Eglinton East,138,209,0.233048669,27469.6,901516.8,4410,656321.1838
Scarborough Village,139,115,0.28632843,0,0,0,1127497.011
Guildwood,140,179,0.697039334,0,0,0,1681205.082
